id,name,start_date,end_date,replaces,replaced_by
Q317806,Abdullahi Issa,1956-02-29,1960-07-01,,Q470991
Q470991,Muhammad Haji Ibrahim Egal,1960-07-01,1960-07-12,Q317806,Q308215
Q308215,Abdirashid Shermarke,1960-07-12,1964-06-14,Q470991,Q202437
Q202437,Abdirizak Haji Hussein,1964-06-14,1967-07-15,Q308215,Q470991
Q470991,Muhammad Haji Ibrahim Egal,1967-07-15,1969-10-21,Q202437,
,,1969-10-21,1969-10-21,Q470991,Q718072
Q718072,Mohammad Ali Samatar,1987-02-01,1990-09-03,,Q328807
Q328807,Hawadle Madar,1990-09-03,1991-01-24,Q718072,Q346240
Q346240,Umar Ghalib,1991-01-24,1997-01-03,Q328807,
,,2000-10-08,2000-10-08,Q346240,Q1397035
Q1397035,Ali Khalif Galaydh,2000-10-08,2001-10-28,,Q732073
Q732073,Osman Jama Ali,2001-10-28,2001-11-12,Q1397035,Q572660
Q572660,Hassan Abshir Farah,2001-11-12,2003-12-08,Q732073,Q1397020
Q1397020,Muhammad Abdi Yusuf,2003-12-08,2004-12-23,Q572660,Q355468
Q355468,Ali Gedi,2004-12-23,2007-10-30,Q1397020,Q1380263
Q1380263,Salim Aliyow Ibrow,2007-10-30,2007-11-24,Q355468,Q451302
Q451302,Nur Hassan Hussein,2007-11-24,2009-02-14,Q1380263,Q57899
Q57899,Omar Sharmarke,2009-02-14,2010-09-24,Q451302,Q4381342
Q4381342,Abdiwahid Gonjeh,2010-09-24,2010-11-01,Q57899,Q558575
Q558575,Mohamed Abdullahi Farmajo,2010-11-01,2011-06-19,Q4381342,Q1777401
Q1777401,Abdiweli Gaas,2011-06-19,2012-08-20,Q558575,Q1777401
Q1777401,Abdiweli Gaas,2012-08-20,2012-10-17,Q1777401,Q682738
Q682738,Abdi Farah Shirdon,2012-10-17,2013-12-21,Q1777401,Q15302843
Q15302843,Abdiweli Sheikh Ahmed,2013-12-21,2014-12-24,Q682738,Q57899
Q57899,Omar Sharmarke,2014-12-24,2017-03-01,Q15302843,Q28824125
Q28824125,Hassan Ali Khayre,2017-03-01,2020-07-25,Q57899,
